Sl.No,State/District,Area (Sq. Km),Total Population,Total Population Male,Total population Female,Total Rural Population,Rural Population Male,Rural population Female,Total Urban Population,Urban Population Male,Urban population Female,Total Literacy Rate,Total Literacy Rate Male,Total Literacy Rate Female,Literacy Rate Rank,Total Rural Literacy Rate,Rural Literacy Rate Male,Rural Literacy Rate Female,Total Urban Literacy Rate,Urban Literacy Rate Male,Urban Literacy Rate Female,Total Scheduled Castes,Total Scheduled Castes Male,Total Scheduled Castes Female,Total Rural Scheduled Castes,Total Rural Scheduled Castes Male,Total Rural Scheduled Castes Female,Total Urban Scheduled Castes,Total Urban Scheduled Castes Male,Total Urban Scheduled Castes Female,Total Scheduled Castes Literacy Rate,Scheduled Castes Literacy Rate Male,Scheduled Castes Literacy Rate Female,Scheduled Castes Literacy Rate Rank,Total Rural Scheduled Caste Literacy Rate,Rural Scheduled Caste Literacy Rate male,Rural Scheduled Caste Literacy Rate female,Total Urban Scheduled Caste Literacy Rate,Urban Scheduled Caste Literacy Rate male,Urban Scheduled Caste Literacy Rate female,Total Scheduled Tribes,Total Scheduled Tribes Male,Total Scheduled Tribes Female,Total Rural Scheduled Tribes,Total Rural Scheduled Tribes Male,Total Rural Scheduled Tribes Female,Total Urban Scheduled Tribes,Total Urban Scheduled Tribes Male,Total Urban Scheduled Tribes Female,Total Scheduled Tribes Literacy Rate,Scheduled Tribes Literacy Rate Male,Scheduled Tribes Literacy Rate Female,Scheduled Tribes Literacy Rate Rank,Total Rural Scheduled Tribes Literacy Rate,Rural Scheduled Tribes Literacy Rate male,Rural Scheduled Tribes Literacy Rate female,Total Urban Scheduled Tribes Literacy Rate,Urban Scheduled Tribes Literacy Rate male,Urban Scheduled Tribes Literacy Rate female
11,Krishnagiri,5129,1879809,960232,919577,1451446,742444,709002,428363,217788,210575,71.46,78.72,63.91,30,67.32,75.43,58.88,85.54,89.99,80.94,267386,135474,131912,217822,110438,107384,49564,25036,24528,68.46,75.85,60.89,27,66.19,73.86,58.31,78.49,84.66,72.21,22388,11419,10969,21041,10720,10321,1347,699,648,47.74,53.13,42.12,28,45.78,51.15,40.2,77.23,82.16,71.81
12,Erode,5760,2251744,1129868,1121876,1093768,552393,541375,1157976,577475,580501,72.58,80.42,64.71,28,65.41,74.45,56.21,79.39,86.17,72.68,369483,184408,185075,215316,107703,107613,154167,76705,77462,59.23,66.41,52.1,32,54.76,61.83,47.7,65.46,72.83,58.2,21880,11024,10856,20025,10068,9957,1855,956,899,46.91,54.19,39.58,29,44.69,51.99,37.38,70.51,76.93,63.68
13,Coimbatore,4732,3458045,1729297,1728748,839105,419032,420073,2618940,1310265,1308675,83.98,89.06,78.92,7,72.16,79.73,64.63,87.82,92.09,83.56,535911,266960,268951,187055,93037,94018,348856,173923,174933,68.94,75.59,62.35,24,57.84,64.37,51.39,74.87,81.58,68.22,28342,14245,14097,19622,9815,9807,8720,4430,4290,55.75,61.87,49.61,19,52.76,58.77,46.78,62.58,68.82,56.17
14,Tiruppur,5187,2479052,1246159,1232893,957941,479309,478632,1521111,766850,754261,78.68,85.49,71.82,18,69.61,78.34,60.91,84.53,90.06,78.93,395876,196907,198969,237893,118360,119533,157983,78547,79436,61.46,68.1,54.93,31,56.55,63.21,50,68.95,75.55,62.45,5458,2740,2718,2650,1318,1332,2808,1422,1386,54.23,63.29,44.99,22,47.62,57.02,38.1,60.59,69.27,51.66
15,The Nilgiris,2565,735394,360143,375251,299739,145909,153830,435655,214234,221421,85.2,91.72,78.98,4,81.17,89.27,73.53,87.99,93.39,82.8,235878,115917,119961,86753,42691,44062,149125,73226,75899,81.47,89.12,74.11,3,77.97,86.46,69.77,83.51,90.68,76.63,32813,16091,16722,22752,11167,11585,10061,4924,5137,60.76,67.64,54.23,16,63.34,70.78,56.25,54.77,60.29,49.58
16,Tiruchirappalli,4509,2722290,1352284,1370006,1384257,688552,695705,1338033,663732,674301,83.23,89.72,76.87,10,76.69,85.44,68.11,89.92,94.11,85.81,466561,230790,235771,287702,141797,145905,178859,88993,89866,78.49,86.51,70.7,6,74.82,83.71,66.24,84.37,90.94,77.91,18198,9414,8784,13784,7171,6613,4414,2243,2171,75.4,81.66,68.79,4,72.4,78.96,65.43,84.71,90.17,79.06
17,Karur,2904,1064493,528184,536309,629976,312628,317348,434517,215556,218961,75.6,84.54,66.86,23,69.3,79.82,59.02,84.7,91.38,78.19,221385,108809,112576,152799,75149,77650,68586,33660,34926,69.44,78.96,60.31,21,66.35,76.24,56.82,76.3,85.02,68.02,575,297,278,191,101,90,384,196,188,83.23,87.74,78.46,2,77.51,83.15,71.25,86.09,90.12,81.93
18,Perambalur,1756,565223,282157,283066,468060,233926,234134,97163,48231,48932,74.32,82.87,65.9,25,72.06,81.28,62.95,85.22,90.53,80.03,175289,87444,87845,150504,75254,75250,24785,12190,12595,71.71,80.3,63.23,17,70.03,78.95,61.18,81.84,88.53,75.42,2584,1292,1292,2156,1086,1070,428,206,222,65.36,70.44,60.26,11,66.26,71.69,60.76,60.5,63.48,57.61
19,Ariyalur,1940,754894,374703,380191,671100,333253,337847,83794,41450,42344,71.34,81.23,61.74,31,70.07,80.38,60.06,81.39,87.99,75.01,176230,88076,88154,163770,81857,81913,12460,6219,6241,64.93,74.12,55.81,30,64.22,73.45,55.04,74.23,82.94,65.71,10722,5274,5448,9946,4897,5049,776,377,399,50.37,57.46,43.53,27,51.02,58.14,44.16,42.14,48.96,35.55
20,Thanjavur,3411,2405890,1182416,1223474,1554531,765177,789354,851359,417239,434120,82.64,89.04,76.5,12,79.04,86.57,71.79,89.18,93.55,85.02,455062,225859,229203,371394,184536,186858,83668,41323,42345,76.26,83.98,68.7,10,75,83.07,67.09,81.84,88.04,75.82,3561,1739,1822,1340,665,675,2221,1074,1147,68.38,74.15,63.02,10,61.07,66.49,55.75,72.69,78.88,67.13
21,Nagapattinam,2569,1616450,798127,818323,1251826,619369,632457,364624,178758,185866,83.59,89.79,77.58,8,82,88.65,75.54,89.03,93.74,84.54,509767,252332,257435,459236,227905,231331,50531,24427,26104,77.07,84.23,70.1,9,76.58,83.81,69.51,81.49,88.16,75.33,3756,1847,1909,2210,1090,1120,1546,757,789,62.9,66.82,59.24,14,54.38,57.51,51.47,74.45,79.39,69.81
22,Thiruvarur,2274,1264277,626693,637584,1006482,499954,506528,257795,126739,131056,82.86,89.13,76.72,11,81.1,87.96,74.38,89.71,93.79,85.79,430927,214717,216210,388740,193888,194852,42187,20829,21358,75.5,83.21,67.87,11,74.91,82.75,67.14,80.92,87.5,74.57,3034,1466,1568,939,461,478,2095,1005,1090,71.35,75.6,67.37,6,60.9,65.55,56.27,75.89,80.16,71.99
23,Pudukkottai,4644,1618345,803188,815157,1301991,645505,656486,316354,157683,158671,77.19,85.56,69,21,74.37,83.53,65.42,88.74,93.84,83.71,284804,141428,143376,246531,122184,124347,38273,19244,19029,73.97,82.74,65.38,14,72.72,81.77,63.86,82.05,88.87,75.24,1283,647,636,835,416,419,448,231,217,68.81,73.98,63.75,9,59.43,64.64,54.37,85.79,90.67,80.93
24,Madurai,3710,3038252,1526475,1511777,1191451,601247,590204,1846801,925228,921573,83.45,89.72,77.16,9,74.14,83.59,64.59,89.41,93.67,85.15,408976,205098,203878,257852,129515,128337,151124,75583,75541,73.28,81.73,64.84,16,68.87,78.39,59.32,80.78,87.42,74.18,11096,5622,5474,4866,2487,2379,6230,3135,3095,71.69,80.07,63.11,5,71.4,79.85,62.43,71.93,80.25,63.63
25,Theni,2868,1245899,625683,620216,575418,290880,284538,670481,334803,335678,77.26,85.03,69.46,20,72.58,81.64,63.38,81.25,87.96,74.59,258200,129900,128300,143589,72599,70990,114611,57301,57310,69,77.75,60.19,23,67.28,76.34,58.06,71.15,79.54,62.81,1835,954,881,1377,714,663,458,240,218,45.65,49.07,42.02,31,42.54,44.76,40.18,54.55,61.54,47.24
26,Dindigul,6036,2159775,1080938,1078837,1351735,678605,673130,808040,402333,405707,76.26,84.23,68.33,22,71.67,80.98,62.36,83.89,89.68,78.19,452376,225573,226803,310601,155203,155398,141775,70370,71405,68.58,77.27,60.02,26,66.29,75.37,57.31,73.58,81.43,65.9,8064,4095,3969,4521,2294,2227,3543,1801,1742,51.9,57.34,46.34,24,46.24,50,42.42,59.13,66.62,51.39
27,Ramanathapuram,4104,1353445,682658,670787,942746,474508,468238,410699,208150,202549,80.72,87.81,73.52,14,77.03,85.29,68.68,89.24,93.58,84.77,249008,125015,123993,205328,102954,102374,43680,22061,21619,73.47,81.94,64.96,15,71.65,80.6,62.68,82.09,88.23,75.82,1105,559,546,501,244,257,604,315,289,62.67,66.53,58.81,15,68.71,72.68,65,57.72,61.8,53.39
28,Virudhunagar,4241,1942288,967709,974579,962062,480360,481702,980226,487349,492877,80.15,87.71,72.69,15,75.88,84.9,66.95,84.31,90.47,78.25,399831,198704,201127,263206,131286,131920,136625,67418,69207,71.67,80.4,63.11,18,70.13,79.19,61.18,74.63,82.75,66.78,2294,1182,1112,1078,541,537,1216,641,575,63.87,71.64,55.65,13,55.31,63.02,47.43,71.15,78.74,62.87
29,Sivagangai,4233,1339101,668672,670429,926256,462210,464046,412845,206462,206383,79.85,87.92,71.85,16,75.73,85.35,66.19,89.1,93.65,84.56,227746,113599,114147,184829,92228,92601,42917,21371,21546,74.26,83.22,65.37,13,72.71,82.16,63.31,80.97,87.77,74.24,790,394,396,491,236,255,299,158,141,69.44,78.2,60.59,7,66.9,77.51,56.68,73.64,79.26,67.48
30,Tirunelveli,6693,3077233,1520912,1556321,1557004,768728,788276,1520229,752184,768045,82.5,89.24,75.98,13,79.17,86.77,71.8,85.9,91.74,80.23,569714,279570,290144,345247,169385,175862,224467,110185,114282,75.3,83.75,67.23,12,77.72,85.18,70.43,83.53,89.29,77.86,10270,5109,5161,3822,1923,1899,6448,3186,3262,69.28,75.65,63.03,8,69.73,75.71,63.74,69.02,75.62,62.62
31,Thoothukkudi,4745,1750176,865021,885155,873374,430361,443013,876802,434660,442142,86.16,91.14,81.33,3,82.16,88.52,76.03,90.16,93.74,86.66,347895,172663,175232,230895,114573,116322,117000,58090,58910,79.67,86.56,72.92,4,77.72,85.18,70.43,83.53,89.29,77.86,4911,2466,2445,1264,620,644,3647,1846,1801,65.12,71.89,58.28,12,54.7,63.48,46.04,68.62,74.67,62.46
32,Kanniyakumari,1684,1870374,926345,944029,330572,164938,165634,1539802,761407,778395,91.75,93.65,89.9,1,90.76,92.39,89.16,91.96,93.92,90.06,74249,36817,37432,18972,9458,9514,55277,27359,27918,88.91,92.33,85.57,1,88.91,92.39,85.47,88.92,92.32,85.61,7282,3554,3728,3741,1808,1933,3541,1746,1795,80.66,84.76,76.75,3,79.66,83.69,75.86,81.7,85.86,77.69
State Total,Tamil Nadu,130058,72147030,36137975,36009055,37229590,18679065,18550525,34917440,17458910,17458530,80.09,86.77,73.14,NA,73.54,82.04,65.05,87.04,91.8,82.31,14438445,7204687,7233758,9475475,4736003,4739472,4962970,2468684,2494286,73.26,80.94,65.64,NA,69.91,78.22,61.66,79.6,86.14,73.17,794697,401068,393629,660280,333178,327102,134417,67890,66527,54.34,61.81,46.8,NA,51.32,59.02,43.55,69.1,75.4,62.7
